"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 01 04:46:29 GMT 2020","Thu Oct 01 04:46:29 GMT 2020","8","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"passed","Thu Oct 01 04:46:29 GMT 2020","Thu Oct 01 04:46:29 GMT 2020","13","","Labels","","Create new label via api","","Create new label via api",""
"broken","Thu Oct 01 04:46:29 GMT 2020","Thu Oct 01 04:46:29 GMT 2020","6","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"failed","Thu Oct 01 04:46:29 GMT 2020","Thu Oct 01 04:46:30 GMT 2020","1007","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Thu Oct 01 04:46:30 GMT 2020","Thu Oct 01 04:46:30 GMT 2020","3","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"passed","Thu Oct 01 04:46:29 GMT 2020","Thu Oct 01 04:46:29 GMT 2020","5","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Thu Oct 01 04:46:30 GMT 2020","Thu Oct 01 04:46:30 GMT 2020","4","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
