"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Fri Aug 28 05:49:48 GMT 2020","Fri Aug 28 05:49:48 GMT 2020","10","","Labels","","Create new label for authorized user","","Create new label for authorized user",""
"passed","Fri Aug 28 05:49:51 GMT 2020","Fri Aug 28 05:49:51 GMT 2020","4","","Milestones","","Close existing milestone for authorized user","","Close existing milestone for authorized user",""
"passed","Fri Aug 28 05:49:51 GMT 2020","Fri Aug 28 05:49:51 GMT 2020","3","","Milestones","","Create new milestone for authorized user","","Create new milestone for authorized user",""
"passed","Fri Aug 28 05:49:49 GMT 2020","Fri Aug 28 05:49:51 GMT 2020","2004","","Labels","","Delete existing label for authorized user","","Delete existing label for authorized user",""
"passed","Fri Aug 28 05:49:48 GMT 2020","Fri Aug 28 05:49:48 GMT 2020","3","","Labels","","Delete existing label via api","","Delete existing label via api",""
"passed","Fri Aug 28 05:49:48 GMT 2020","Fri Aug 28 05:49:49 GMT 2020","1009","","Labels","","Add label to existing issue for authorized user","","Add label to existing issue for authorized user",""
"passed","Fri Aug 28 05:49:48 GMT 2020","Fri Aug 28 05:49:48 GMT 2020","12","","Labels","","Create new label via api","","Create new label via api",""
